Classifier,Max_Depth,Training_Size,Accuracy,Precision,Recall,F1_Score,Training_Time
theClassifier,3,0.6,0.8034682080924855,0.7686831495604023,0.8034682080924855,0.7845883575237609,0.029114723205566406
Sklearn,3,0.6,0.7630057803468208,0.6828973065011102,0.7630057803468208,0.71663521855299,0.002990245819091797
theClassifier,3,0.7,0.7957610789980732,0.739364161849711,0.7957610789980732,0.7658768811751246,0.02527904510498047
Sklearn,3,0.7,0.7572254335260116,0.6722962362291569,0.7572254335260116,0.7067648107207826,0.003573179244995117
theClassifier,3,0.8,0.7890173410404624,0.7560496723652836,0.7890173410404624,0.770083314591985,0.03495430946350098
Sklearn,3,0.8,0.7427745664739884,0.6576348747591522,0.7427745664739884,0.6908574608315915,0.0035152435302734375
theClassifier,5,0.6,0.8294797687861272,0.8231358938934059,0.8294797687861272,0.8254156818069145,0.12772321701049805
Sklearn,5,0.6,0.8540462427745664,0.8403269048671871,0.8540462427745664,0.8425144190574991,0.0029382705688476562
theClassifier,5,0.7,0.8208092485549133,0.8194088874059999,0.8208092485549133,0.8197278815641499,0.10238027572631836
Sklearn,5,0.7,0.8631984585741811,0.8473238187801593,0.8631984585741811,0.851329146126834,0.002988576889038086
theClassifier,5,0.8,0.8323699421965318,0.8428802257061043,0.8323699421965318,0.8338645332296195,0.11543846130371094
Sklearn,5,0.8,0.8670520231213873,0.8464236434831252,0.8670520231213873,0.8503516216592018,0.002995014190673828
theClassifier,10,0.6,0.8294797687861272,0.8193495790521779,0.8294797687861272,0.8229050960222821,0.14328908920288086
Sklearn,10,0.6,0.9595375722543352,0.9631816421253303,0.9595375722543352,0.9608062050739093,0.0009999275207519531
theClassifier,10,0.7,0.8285163776493256,0.8189507398834015,0.8285163776493256,0.8229692266906066,0.06065964698791504
Sklearn,10,0.7,0.9595375722543352,0.9621557059467318,0.9595375722543352,0.9604245826048675,0.0019948482513427734
theClassifier,10,0.8,0.846820809248555,0.8481964058881749,0.846820809248555,0.8458347716408358,0.05698442459106445
Sklearn,10,0.8,0.953757225433526,0.9714730364357248,0.953757225433526,0.9579090894945617,0.0014348030090332031
